Source_Company,Concentration,Process_Type,Storage_Site,Capturable_Volume,Transport_Method,Distance_km,Cost_USD_Per_Ton,Year
台灣中油,,,鐵砧山氣田,80,管線,0,45.5,2025
中國鋼鐵,,,澳洲海域封存,150,海運,0,85,2025
