年度,項目,管制編號,事業名稱,直接排放量(公噸CO2e),能源間接排放量(公噸CO2e),合計排放量(公噸CO2e),縣市別,行業分類,七大製造業
112,386,R1002547,豐年豐和企業股份有限公司上崙一廠,"22,096.66","6,745.27","28,841.94",台南市,動植物油脂製造業,其他業
112,393,R1002065,奇美實業股份有限公司,"339,458.55","25,330.55","364,789.11",台南市,塑膠及合成橡膠原料製造業,石化業
112,396,R10A3047,奇美實業股份有限公司旭美廠,"81,224.43","96,797.59","178,022.02",台南市,塑膠及合成橡膠原料製造業,石化業
112,435,R9701341,威致鋼鐵工業股份有限公司官田廠,"86,682.61","162,234.34","248,916.95",台南市,鋼鐵製造業,鋼鐵業
112,437,R8500582,華新麗華股份有限公司鹽水廠,"82,120.05","130,952.73","213,072.78",台南市,鋼鐵製造業,鋼鐵業
112,439,R14A1883,易昇鋼鐵股份有限公司,"52,436.10","103,211.22","155,647.32",台南市,鋼鐵製造業,鋼鐵業
112,442,R8400827,榮剛材料科技股份有限公司新營廠,"62,850.05","76,992.73","139,842.79",台南市,鋼鐵製造業,鋼鐵業
112,449,R9100522,東盟開發實業股份有限公司學甲廠,"23,467.83","32,007.64","55,475.48",台南市,鋼鐵製造業,鋼鐵業
112,450,R92A0659,榮剛材料科技股份有限公司柳營廠,"33,194.60","18,996.20","52,190.80",台南市,鋼鐵製造業,鋼鐵業
112,455,D9703411,易昇鋼鐵股份有限公司官田廠,"12,926.83","12,873.28","25,800.11",台南市,鋼鐵製造業,鋼鐵業
112,467,R0503072,森霸電力股份有限公司,"2,193,251.41","2,371.20","2,195,622.61",台南市,電力供應業,電力業
112,477,R9702160,台灣汽電共生股份有限公司官田廠,"336,811.82",357.656,"337,169.48",台南市,電力供應業,電力業
112,15,G3700791,臺灣化學纖維股份有限公司龍德廠,"1,408,051.57",,"1,408,051.57",宜蘭縣,化學原材料製造業,石化業
112,63,G3200527,東南實業股份有限公司蘇澳總廠,"46,904.10","7,255.46","54,159.56",宜蘭縣,化學原材料製造業,石化業
112,83,G3200778,台灣水泥股份有限公司蘇澳廠,"1,120,095.87","63,245.17","1,183,341.03",宜蘭縣,水泥及其製品製造業,非金屬業
112,84,G37A0585,潤泰精密材料股份有限公司宜蘭冬山廠,"626,513.58","47,822.36","674,335.94",宜蘭縣,水泥及其製品製造業,非金屬業
112,85,G4100017,幸福水泥股份有限公司東澳廠,"569,060.22","37,569.29","606,629.51",宜蘭縣,水泥及其製品製造業,非金屬業
112,86,G3200849,信大水泥股份有限公司南聖湖廠,"551,764.81","40,857.11","592,621.92",宜蘭縣,水泥及其製品製造業,非金屬業
112,293,G3700880,台灣塑膠工業股份有限公司冬山廠,"115,857.65","11,395.99","127,253.63",宜蘭縣,其他非金屬礦物製品製造業,非金屬業
112,268,G32A0609,燿華電子股份有限公司宜蘭廠,"2,303.11","42,820.86","45,123.98",宜蘭縣,印刷電路板製造業,電子業
112,441,G32A0540,羅東鋼鐵廠股份有限公司煉鋼廠,"38,794.88","105,144.97","143,939.85",宜蘭縣,鋼鐵製造業,鋼鐵業
112,81,U9400115,亞洲水泥股份有限公司花蓮製造廠,"2,634,141.98","148,714.13","2,782,856.11",花蓮縣,水泥及其製品製造業,非金屬業
112,82,U0100187,台灣水泥股份有限公司和平分公司和平廠,"2,337,377.75","123,081.48","2,460,459.23",花蓮縣,水泥及其製品製造業,非金屬業
112,368,U9500478,中華紙漿股份有限公司花蓮廠,"61,220.74","104,154.96","165,375.70",花蓮縣,紙漿、紙及紙板製造業,造紙業
112,465,U0100258,和平電力股份有限公司和平火力發電廠,"7,995,241.51",1.3832,"7,995,242.90",花蓮縣,電力供應業,電力業
112,478,W0504775,台灣電力股份有限公司塔山發電廠,"206,980.84",137.747,"207,118.59",金門縣,電力供應業,電力業
112,283,M3302762,台灣卜蜂企業股份有限公司南投肉品加工廠,"16,655.32","20,768.55","37,423.87",南投縣,肉類加工及保藏業,其他業
