年度,項目,管制編號,事業名稱,直接排放量(公噸CO2e),能源間接排放量(公噸CO2e),合計排放量(公噸CO2e),縣市別,行業分類,七大製造業
112,415,H4895112,廣達電腦股份有限公司總廠,942.993,"26,522.66","27,465.66",桃園市,電腦及其週邊設備製造業,電子業
112,432,H53A0675,東和鋼鐵企業股份有限公司桃園廠,"78,056.08","354,241.83","432,297.91",桃園市,鋼鐵製造業,鋼鐵業
112,445,H5200617,聯成鋼鐵股份有限公司桃園廠,"28,884.62","68,394.89","97,279.52",桃園市,鋼鐵製造業,鋼鐵業
112,12,S2201109,台灣塑膠工業股份有限公司仁武廠,"2,256,559.80","71,351.06","2,327,910.86",高雄市,化學原材料製造業,石化業
112,13,S1900710,台灣中油股份有限公司石化事業部,"1,725,051.09","80,789.39","1,805,840.48",高雄市,化學原材料製造業,石化業
112,17,S1900685,台灣塑膠工業股份有限公司林園廠,"610,064.16","108,812.37","718,876.53",高雄市,化學原材料製造業,石化業
112,21,E5600850,中國石油化學工業開發股份有限公司小港廠,"508,360.50","115,621.81","623,982.31",高雄市,化學原材料製造業,石化業
112,22,S2005652,大連化學工業股份有限公司大發廠,"76,649.34","526,082.76","602,732.10",高雄市,化學原材料製造業,石化業
112,23,S2001314,長春石油化學股份有限公司 大發廠,"554,380.99","4,874.85","559,255.83",高雄市,化學原材料製造業,石化業
112,24,S2300401,中國人造纖維股份有限公司高雄總廠,"395,245.41","15,411.77","410,657.17",高雄市,化學原材料製造業,石化業
112,26,S2005081,長春人造樹脂廠股份有限公司大發廠,"10,894.71","379,039.37","389,934.09",高雄市,化學原材料製造業,石化業
112,27,S2015916,長春人造樹脂廠股份有限公司大發二廠,"70,508.06","312,747.42","383,255.48",高雄市,化學原材料製造業,石化業
112,28,S1900578,東聯化學股份有限公司高雄林園廠,"26,542.06","317,216.83","343,758.89",高雄市,化學原材料製造業,石化業
112,33,S1900658,台灣苯乙烯工業股份有限公司高雄廠,"174,823.14","25,923.75","200,746.89",高雄市,化學原材料製造業,石化業
112,35,S1900372,台灣氯乙烯工業股份有限公司林園廠,"121,335.88","55,018.15","176,354.03",高雄市,化學原材料製造業,石化業
112,38,S2300410,中國石油化學工業開發股份有限公司大社廠,"118,403.70","41,186.47","159,590.16",高雄市,化學原材料製造業,石化業
112,39,S2201056,台灣聚合化學品股份有限公司高雄廠,"20,983.00","121,408.27","142,391.27",高雄市,化學原材料製造業,石化業
112,40,S1901066,信昌化學工業股份有限公司林園廠,"96,379.65","42,068.82","138,448.47",高雄市,化學原材料製造業,石化業
112,41,E5600136,台灣志氯化學股份有限公司?氯廠,111.5318,"136,331.11","136,442.64",高雄市,化學原材料製造業,石化業
112,42,S1900701,台灣塑膠工業股份有限公司林園聚丙烯廠,260.1221,"127,338.93","127,599.05",高雄市,化學原材料製造業,石化業
112,46,S2300447,高雄塑酯化學工業股份有限公司,"67,502.81","20,286.69","87,789.50",高雄市,化學原材料製造業,石化業
112,47,E5601437,中鋼碳素化學股份有限公司,"26,047.14","57,646.63","83,693.76",高雄市,化學原材料製造業,石化業
112,49,E5600305,李長榮化學工業股份有限公司高雄廠,"24,368.18","57,211.81","81,579.99",高雄市,化學原材料製造業,石化業
112,52,S2300465,大連化學工業股份有限公司高雄廠,"34,570.12","42,994.52","77,564.65",高雄市,化學原材料製造業,石化業
112,57,S1900283,和益化學工業股份有限公司,"48,830.53","18,822.18","67,652.71",高雄市,化學原材料製造業,石化業
112,58,S1900676,李長榮化學工業股份有限公司林園廠,"21,762.63","45,497.32","67,259.95",高雄市,化學原材料製造業,石化業
112,61,E2300675,亞東工業氣體股份有限公司大社廠,7.0823,"56,369.55","56,376.63",高雄市,化學原材料製造業,石化業
112,62,S1900729,聯華氣體工業股份有限公司林園工廠,"2,301.56","53,654.33","55,955.89",高雄市,化學原材料製造業,石化業
112,64,S1900612,聯成化學科技股份有限公司林園廠,"37,101.17","14,442.36","51,543.54",高雄市,化學原材料製造業,石化業
112,71,S3200955,遠東氣體工業股份有限公司永安工廠,18.1443,"33,395.98","33,414.13",高雄市,化學原材料製造業,石化業
112,74,S3204695,勝一化工股份有限公司永安二廠,"27,682.13","5,025.34","32,707.48",高雄市,化學原材料製造業,石化業
112,80,S3200428,勝一化工股份有限公司,"23,099.07","3,329.86","26,428.92",高雄市,化學原材料製造業,石化業
112,139,E2903416,華邦電子股份有限公司高雄廠,"11,900.31","101,718.94","113,619.25",高雄市,半導體製造業,電子業
112,160,E4906835,日月光半導體製造股份有限公司十一廠,"6,547.81","57,248.82","63,796.62",高雄市,半導體製造業,電子業
112,162,E4900397,台灣恩智浦半導體股份有限公司,"1,210.77","61,873.14","63,083.91",高雄市,半導體製造業,電子業
112,163,E49A6412,台灣福雷電子股份有限公司三廠,375.603,"61,551.61","61,927.21",高雄市,半導體製造業,電子業
112,165,E5402523,華東科技股份有限公司B10廠,462.7848,"56,130.27","56,593.06",高雄市,半導體製造業,電子業
112,168,E49A6630,日月光半導體製造股份有限公司二十二廠,"6,246.21","43,817.25","50,063.46",高雄市,半導體製造業,電子業
112,173,E49A9852,日月光半導體製造股份有限公司二十四廠,744.8114,"45,794.75","46,539.56",高雄市,半導體製造業,電子業
112,189,E49A5078,日月光半導體製造股份有限公司十二廠,275.8721,"36,898.69","37,174.56",高雄市,半導體製造業,電子業
112,192,E49A5692,日月光半導體製造股份有限公司二十一廠,"1,610.16","32,676.64","34,286.80",高雄市,半導體製造業,電子業
112,193,E49A1492,華泰電子股份有限公司封裝測試大樓工廠,136.4015,"32,364.22","32,500.62",高雄市,半導體製造業,電子業
112,194,E4905365,日月光半導體製造股份有限公司九廠,"1,429.45","29,661.19","31,090.64",高雄市,半導體製造業,電子業
112,211,S1900694,台灣石化合成股份有限公司林園廠,"46,948.23","37,895.67","84,843.90",高雄市,未分類其他化學製品製造業,石化業
112,214,S1901002,合興石化工業股份有限公司林園廠,"23,591.98","27,132.48","50,724.46",高雄市,未分類其他化學製品製造業,石化業
112,216,E1901105,台合科技股份有限公司,"28,380.83","3,619.94","32,000.77",高雄市,未分類其他化學製品製造業,石化業
112,217,S2900821,長興材料工業股份有限公司路竹廠,"13,974.88","17,360.05","31,334.93",高雄市,未分類其他化學製品製造業,石化業
112,218,S1695018,漢翔航空工業股份有限公司岡山廠,"3,580.15","23,297.85","26,878.01",高雄市,未分類其他運輸工具及其零件製造業,其他業
112,220,E5600056,台灣中油股份有限公司煉製事業部大林煉油廠,"2,411,792.56","559,977.53","2,971,770.08",高雄市,石油及煤製品製造業,石化業
112,222,S2300429,國喬石油化學股份有限公司高雄廠,"416,998.26","20,354.38","437,352.64",高雄市,石油及煤製品製造業,石化業
112,223,E1902497,林園先進材料科技股份有限公司,"204,778.65","26,068.95","230,847.60",高雄市,石油及煤製品製造業,石化業
112,230,S29A1607,群創光電股份有限公司F廠,"8,900.00","346,759.81","355,659.81",高雄市,光電材料及元件製造業,電子業
112,238,E2902160,群創光電股份有限公司T6廠,"3,388.46","128,513.28","131,901.74",高雄市,光電材料及元件製造業,電子業
112,250,E2902964,友達光電股份有限公司高雄廠,143.4542,"26,053.09","26,196.55",高雄市,光電材料及元件製造業,電子業
112,278,E4900753,楠梓電子股份有限公司二廠,738.4541,"29,449.51","30,187.97",高雄市,印刷電路板製造業,電子業
112,291,S1601570,燁興企業股份有限公司軋鋼廠,"11,895.36","16,193.17","28,088.52",高雄市,其他金屬製品製造業,其他業
112,296,E5602934,中聯資源股份有限公司臨海廠,"20,695.62","19,743.87","40,439.49",高雄市,其他非金屬礦物製品製造業,非金屬業
112,299,E5601697,中聯資源股份有限公司,"12,070.57","19,165.61","31,236.18",高雄市,其他非金屬礦物製品製造業,非金屬業
112,300,E5600869,台灣糖業股份有限公司小港廠,"59,740.89","2,787.62","62,528.51",高雄市,其他食品製造業,其他業
112,312,E5601080,漢泰鋼鐵廠股份有限公司,"32,352.48","14,637.55","46,990.03",高雄市,其他基本金屬製造業,其他業
112,317,E4901947,華泰電子股份有限公司企業總部大樓工廠,258.5564,"38,278.28","38,536.84",高雄市,其他電子零組件製造業,電子業
112,325,S2500536,燁輝企業股份有限公司高雄一廠,"49,540.49","69,390.80","118,931.29",高雄市,金屬加工處理業,其他業
112,328,E5600565,盛餘股份有限公司,"27,121.56","47,350.66","74,472.23",高雄市,金屬加工處理業,其他業
112,329,S2602473,裕鐵企業股份有限公司岡山二廠,"24,470.29","38,470.31","62,940.60",高雄市,金屬加工處理業,其他業
112,330,E5603655,李長榮科技股份有限公司銅箔廠,155.9997,"58,566.90","58,722.90",高雄市,金屬加工處理業,其他業
112,332,S26A0793,裕鐵企業股份有限公司岡山三廠,"24,786.05","9,969.94","34,755.98",高雄市,金屬加工處理業,其他業
112,334,S1601178,晉禾企業股份有限公司,"5,154.06","20,435.17","25,589.24",高雄市,金屬加工處理業,其他業
112,362,S3200946,台灣中油股份有限公司天然氣事業部永安液化天然氣廠,"10,480.23","98,300.47","108,780.70",高雄市,氣體燃料供應業,石化業
112,365,S2100223,中華紙漿股份有限公司久堂廠,"385,792.01","22,928.29","408,720.30",高雄市,紙漿、紙及紙板製造業,造紙業
112,388,E5600930,台灣國際造船股份有限公司,"12,144.14","22,116.18","34,260.33",高雄市,船舶及其零件製造業,其他業
112,389,E4900404,國巨股份有限公司楠梓分公司,"3,181.51","43,625.31","46,806.82",高雄市,被動電子元件製造業,電子業
112,390,E54B0143,華新科技股份有限公司高雄東十五廠,"1,017.25","29,770.22","30,787.47",高雄市,被動電子元件製造業,電子業
112,391,S20A2878,國巨股份有限公司大發二廠,"1,530.36","26,711.17","28,241.53",高雄市,被動電子元件製造業,電子業
112,392,E5408338,華新科技股份有限公司高雄南一廠,"1,431.26","23,722.87","25,154.12",高雄市,被動電子元件製造業,電子業
112,397,S2300438,台橡股份有限公司高雄廠,"101,347.44","42,997.72","144,345.17",高雄市,塑膠及合成橡膠原料製造業,石化業
112,398,S1900596,亞洲聚合股份有限公司 林園廠,"10,187.57","97,777.51","107,965.08",高雄市,塑膠及合成橡膠原料製造業,石化業
112,400,S2201092,長春人造樹脂廠股份有限公司高雄廠,"21,289.15","56,917.06","78,206.21",高雄市,塑膠及合成橡膠原料製造業,石化業
112,401,E56B1498,環球橡膠股份有限公司小港廠,"5,666.65","72,197.15","77,863.80",高雄市,塑膠及合成橡膠原料製造業,石化業
112,402,S2000424,台灣寶理塑膠股份有限公司大發廠,"4,724.63","71,835.30","76,559.93",高雄市,塑膠及合成橡膠原料製造業,石化業
112,403,S23A0124,李長榮化學工業股份有限公司大社廠,"17,901.82","49,003.32","66,905.14",高雄市,塑膠及合成橡膠原料製造業,石化業
112,407,S1900630,台達化學工業股份有限公司林園廠,"5,510.15","32,782.35","38,292.50",高雄市,塑膠及合成橡膠原料製造業,石化業
112,408,S2603498,泓達化工股份有限公司燕巢廠,"16,074.47","10,287.67","26,362.13",高雄市,塑膠及合成橡膠原料製造業,石化業
112,413,S2201118,南亞塑膠工業股份有限公司仁武廠,"1,211.31","26,379.01","27,590.32",高雄市,塑膠製品製造業,石化業
112,420,E5600092,中鋼鋁業股份有限公司,"54,489.56","93,090.68","147,580.24",高雄市,鋁製造業,鋼鐵業
112,422,E4900879,台灣福雷電子股份有限公司,772.9821,"56,193.98","56,966.96",高雄市,機械器具批發業,其他業
112,428,E5600841,中國鋼鐵股份有限公司,"16,758,851.82","1,155,954.38","17,914,806.19",高雄市,鋼鐵製造業,鋼鐵業
112,431,S1601990,燁聯鋼鐵股份有限公司,"190,757.81","294,245.97","485,003.78",高雄市,鋼鐵製造業,鋼鐵業
112,434,E5600332,協勝發鋼鐵廠股份有限公司,"83,797.40","190,747.73","274,545.14",高雄市,鋼鐵製造業,鋼鐵業
112,436,S1602102,中鴻鋼鐵股份有限公司熱軋廠,"132,159.33","101,533.58","233,692.91",高雄市,鋼鐵製造業,鋼鐵業
112,438,E56A2617,尚承鋼鐵股份有限公司,"92,727.24","77,861.45","170,588.69",高雄市,鋼鐵製造業,鋼鐵業
112,440,E56A4792,中國鋼鐵股份有限公司第三冷軋廠,"49,702.09","101,898.06","151,600.15",高雄市,鋼鐵製造業,鋼鐵業
112,444,E5600501,海光企業股份有限公司,"29,306.89","97,258.42","126,565.31",高雄市,鋼鐵製造業,鋼鐵業
112,446,E5601197,唐榮鐵工廠股份有限公司,"29,842.39","56,537.88","86,380.27",高雄市,鋼鐵製造業,鋼鐵業
112,447,E5600798,龍慶鋼鐵企業股份有限公司,"21,852.11","38,331.24","60,183.35",高雄市,鋼鐵製造業,鋼鐵業
112,448,E5602952,海光企業股份有限公司嘉興鋼鐵廠,"29,078.52","29,487.06","58,565.58",高雄市,鋼鐵製造業,鋼鐵業
112,451,E56A7340,東和鋼鐵企業股份有限公司大業廠,"35,059.50","14,073.30","49,132.79",高雄市,鋼鐵製造業,鋼鐵業
112,452,S25A0144,欣建工業股份有限公司,"16,979.25","11,803.83","28,783.08",高雄市,鋼鐵製造業,鋼鐵業
112,453,E5600369,東和鋼鐵企業股份有限公司高雄廠,"17,751.77","10,938.86","28,690.62",高雄市,鋼鐵製造業,鋼鐵業
112,454,S2500527,中鴻鋼鐵股份有限公司冷軋廠,"10,672.70","16,268.84","26,941.54",高雄市,鋼鐵製造業,鋼鐵業
112,457,E2000554,錦州科技股份有限公司大發廠,"598,052.38","2,776.08","600,828.46",高雄市,蒸汽供應業,電力業
112,459,S3200688,台灣電力股份有限公司興達發電廠,"15,790,316.77","1,059.34","15,791,376.11",高雄市,電力供應業,電力業
112,462,E5600896,台灣電力股份有限公司大林發電廠,"10,767,425.33","2,381.08","10,769,806.41",高雄市,電力供應業,電力業
112,466,E5400878,台灣電力股份有限公司南部發電廠,"3,090,730.58",436.5379,"3,091,167.12",高雄市,電力供應業,電力業
112,468,C1400170,台灣電力股份有限公司協和發電廠,"1,949,095.86",490.2431,"1,949,586.10",基隆市,電力供應業,電力業
112,482,Z6303328,台灣電力股份有限公司協和發電廠馬祖珠山分廠,"39,332.60",,"39,332.61",連江縣,電力供應業,電力業
112,10,P5802421,台塑石化股份有限公司麥寮一廠,"14,322,859.54",,"14,322,859.54",雲林縣,化學原材料製造業,石化業
112,11,P5802092,台灣化學纖維股份有限公司海豐廠,"1,239,393.23","1,759,810.47","2,999,203.70",雲林縣,化學原材料製造業,石化業
112,14,P5801773,台灣化學纖維股份有限公司麥寮廠,"411,589.40","1,097,081.36","1,508,670.76",雲林縣,化學原材料製造業,石化業
112,16,P5801513,南亞塑膠工業股份有限公司麥寮總廠,"233,556.92","705,041.93","938,598.84",雲林縣,化學原材料製造業,石化業
112,18,P5802387,大連化學工業股份有限公司麥寮廠,"79,961.33","624,392.57","704,353.91",雲林縣,化學原材料製造業,石化業
112,19,P5805244,南亞塑膠工業股份有限公司海豐總廠,"159,395.47","506,783.30","666,178.77",雲林縣,化學原材料製造業,石化業
112,30,P5806349,台灣塑膠工業股份有限公司海豐廠,"90,900.23","178,539.77","269,440.00",雲林縣,化學原材料製造業,石化業
112,36,P5802001,台灣塑膠工業股份有限公司麥寮碳纖廠,"4,819.57","165,342.66","170,162.24",雲林縣,化學原材料製造業,石化業
112,51,P5802323,南中石化工業股份有限公司乙二醇廠,"1,556.64","76,154.99","77,711.63",雲林縣,化學原材料製造業,石化業
112,68,P5802378,台塑旭彈性纖維股份有限公司麥寮廠,"4,347.63","39,197.09","43,544.72",雲林縣,化學原材料製造業,石化業
112,119,P5801871,台塑勝高科技股份有限公司麥寮矽晶圓廠,"5,871.80","223,231.51","229,103.31",雲林縣,半導體製造業,電子業
112,140,P4602196,福懋科技股份有限公司,987.8588,"111,015.42","112,003.28",雲林縣,半導體製造業,電子業
112,205,P5802430,台塑石化股份有限公司麥寮三廠,"5,634,888.94","39,128.85","5,674,017.79",雲林縣,未分類其他化學製品製造業,石化業
112,206,P5801728,台塑石化股份有限公司麥寮二廠,"4,046,891.77","190,724.90","4,237,616.67",雲林縣,未分類其他化學製品製造業,石化業
112,207,P5801602,台灣塑膠工業股份有限公司麥寮廠,"454,469.75","3,670,302.32","4,124,772.08",雲林縣,未分類其他化學製品製造業,石化業
112,209,P5805753,長春石油化學股份有限公司麥寮廠,"19,544.25","469,354.17","488,898.42",雲林縣,未分類其他化學製品製造業,石化業
112,210,P5805780,台灣醋酸化學股份有限公司醋酸廠,"16,203.87","119,983.09","136,186.96",雲林縣,未分類其他化學製品製造業,石化業
112,294,P4602758,富喬工業股份有限公司,"28,555.33","46,019.57","74,574.90",雲林縣,其他非金屬礦物製品製造業,非金屬業
112,311,P4602276,台日古河銅箔股份有限公司,"2,977.98","48,142.90","51,120.88",雲林縣,其他基本金屬製造業,其他業
112,324,P4607940,上銀科技股份有限公司-雲科廠,287.3983,"37,463.18","37,750.58",雲林縣,金屬加工用機械設備製造業,其他業
112,331,P46A0069,巧新科技工業股份有限公司二廠,"10,195.53","31,712.99","41,908.52",雲林縣,金屬加工處理業,其他業
112,335,P4600987,福懋興業股份有限公司,"70,239.06","57,355.54","127,594.61",雲林縣,染整業,紡織業
112,345,P46A0693,艾杰旭顯示玻璃股份有限公司斗六二廠,"84,684.92","161,486.62","246,171.54",雲林縣,玻璃及其製品製造業,非金屬業
112,349,P4606327,艾杰旭顯示玻璃股份有限公司斗六一廠,"24,092.81","90,532.57","114,625.38",雲林縣,玻璃及其製品製造業,非金屬業
112,354,P48A0851,富喬工業股份有限公司雲林分公司,"37,640.07","39,143.77","76,783.84",雲林縣,玻璃及其製品製造業,非金屬業
112,371,P5500191,合眾紙業股份有限公司林內廠,"32,008.49","23,999.25","56,007.74",雲林縣,紙漿、紙及紙板製造業,造紙業
112,382,P46B5125,中國石油化學工業開發股份有限公司斗六廠,"15,530.38","11,459.29","26,989.67",雲林縣,紡紗業,紡織業
112,383,P4601984,福懋興業股份有限公司第二廠,"8,450.49","25,725.40","34,175.89",雲林縣,紡織品製造業,紡織業
112,405,P58A1635,台塑科騰化學有限公司,"7,782.11","54,215.75","61,997.85",雲林縣,塑膠及合成橡膠原料製造業,石化業
112,417,P4606818,金居開發股份有限公司斗六二廠,"1,269.06","53,741.86","55,010.92",雲林縣,銅製造業,鋼鐵業
112,418,P4602552,金居開發股份有限公司斗六一廠,"1,860.62","47,485.65","49,346.27",雲林縣,銅製造業,鋼鐵業
112,419,P4801322,台榮產業股份有限公司雲林廠,"24,638.22","14,203.82","38,842.05",雲林縣,碾穀、磨粉及澱粉製品製造業,其他業
112,427,P5400070,建大工業股份有限公司雲林廠,"10,746.19","16,071.40","26,817.59",雲林縣,橡膠製品製造業,其他業
112,463,P5801719,麥寮汽電股份有限公司,"9,440,456.90","2,923.19","9,443,380.10",雲林縣,電力供應業,電力業
112,399,F0701702,南亞塑膠工業股份有限公司樹林廠,"52,219.17","37,555.13","89,774.30",新北市,塑膠及合成橡膠原料製造業,石化業
112,411,F1600491,南亞塑膠工業股份有限公司林口二廠,"20,191.64","59,929.52","80,121.15",新北市,塑膠製品製造業,石化業
112,297,F0801707,三洋窯業股份有限公司,"26,899.48","9,325.14","36,224.62",新北市,其他非金屬礦物製品製造業,非金屬業
112,460,F1700736,台灣電力股份有限公司林口發電廠,"14,074,815.78","1,603.75","14,076,419.53",新北市,電力供應業,電力業
112,481,F2800075,台灣電力股份有限公司第二核能發電廠,"5,773.63","59,089.03","64,862.66",新北市,電力供應業,電力業
112,101,F1606662,南亞科技股份有限公司三廠,"56,653.82","373,670.30","430,324.12",新北市,半導體製造業,電子業
112,170,F0401403,德州儀器工業股份有限公司,"1,581.51","46,339.18","47,920.69",新北市,半導體製造業,電子業
112,171,F0500803,台灣通用器材股份有限公司,"3,781.05","44,135.15","47,916.20",新北市,半導體製造業,電子業
112,262,F07B5260,南亞電路板股份有限公司樹林一廠,"1,616.29","60,819.47","62,435.77",新北市,印刷電路板製造業,電子業
112,271,F1304789,燿華電子股份有限公司土城二廠,659.4025,"41,699.33","42,358.73",新北市,印刷電路板製造業,電子業
112,32,O1746614,聯亞科技股份有限公司三廠,100.2771,"213,314.73","213,415.01",新竹市,化學原材料製造業,石化業
112,75,O17N2261,亞東工業氣體股份有限公司竹科二廠,3.3179,"32,386.94","32,390.26",新竹市,化學原材料製造業,石化業
112,2,J5700222,遠東新世紀股份有限公司化學纖維總廠,"267,507.45","117,561.72","385,069.17",新竹縣,人造纖維製造業,石化業
112,66,J6300539,聯亞科技股份有限公司一廠,7.4208,"44,849.67","44,857.09",新竹縣,化學原材料製造業,石化業
112,395,J5901658,長春人造樹脂廠股份有限公司新竹廠,"159,010.34","71,858.56","230,868.89",新竹縣,塑膠及合成橡膠原料製造業,石化業
112,421,J5901747,三陽工業股份有限公司新竹廠,"11,424.54","25,533.30","36,957.84",新竹縣,機車及其零件製造業,其他業
112,424,J6100762,南港輪胎股份有限公司新豐廠,"12,672.30","26,301.15","38,973.45",新竹縣,橡膠製品製造業,其他業
112,426,J5901854,台灣普利司通股份有限公司新竹工廠,"9,994.90","17,770.72","27,765.63",新竹縣,橡膠製品製造業,其他業
112,346,O1703351,台灣玻璃工業股份有限公司新竹廠,"120,304.40","42,695.83","163,000.23",新竹市,玻璃及其製品製造業,非金屬業
112,351,O1703315,華夏玻璃股份有限公司,"76,030.98","26,120.55","102,151.53",新竹市,玻璃及其製品製造業,非金屬業
112,357,J5700231,大享容器工業股份有限公司,"38,377.09","9,748.00","48,125.09",新竹縣,玻璃及其製品製造業,非金屬業
112,374,O1702523,正隆股份有限公司新竹廠,"15,259.20","10,461.73","25,720.94",新竹市,紙漿、紙及紙板製造業,造紙業
112,307,J5500366,正隆股份有限公司竹北廠,"80,905.96","47,977.68","128,883.63",新竹縣,其他紙製品製造業,造紙業
112,475,J5601064,新桃電力股份有限公司,"759,054.23","7,002.94","766,057.17",新竹縣,電力供應業,電力業
112,110,O1709308,台灣積體電路製造股份有限公司十二廠,"53,801.63","252,600.02","306,401.66",新竹市,半導體製造業,電子業
112,111,O17M3925,力晶積成電子製造股份有限公司P1/2,"21,583.49","278,194.47","299,777.96",新竹市,半導體製造業,電子業
112,118,O1713311,台灣積體電路製造股份有限公司八廠,"70,610.39","171,977.83","242,588.22",新竹市,半導體製造業,電子業
112,124,O17A6887,旺宏電子股份有限公司晶圓五廠,"55,996.40","151,115.22","207,111.61",新竹市,半導體製造業,電子業
112,125,O1709148,聯華電子股份有限公司Fab8D廠,"59,347.39","147,122.38","206,469.77",新竹市,半導體製造業,電子業
112,128,O1751197,世界先進積體電路股份有限公司晶圓二廠,"38,139.03","126,393.38","164,532.41",新竹市,半導體製造業,電子業
112,130,O17M3896,力晶積成電子製造股份有限公司P3,"15,515.24","138,430.02","153,945.26",新竹市,半導體製造業,電子業
112,131,O1706209,聯華電子股份有限公司Fab8A廠,"45,681.61","104,923.85","150,605.45",新竹市,半導體製造業,電子業
112,132,O1706307,旺宏電子股份有限公司晶圓二廠,"63,138.11","85,053.70","148,191.80",新竹市,半導體製造業,電子業
112,135,O1704812,台灣茂矽電子股份有限公司,"80,834.37","45,102.86","125,937.23",新竹市,半導體製造業,電子業
112,144,O1706692,聯華電子股份有限公司Fab8E廠,"26,958.37","72,078.16","99,036.53",新竹市,半導體製造業,電子業
112,145,O1708632,聯華電子股份有限公司Fab8F廠,"23,138.23","75,387.96","98,526.19",新竹市,半導體製造業,電子業
112,148,O1753306,力晶積成電子製造股份有限公司8A,"8,788.86","79,486.44","88,275.30",新竹市,半導體製造業,電子業
112,156,O1700798,元隆電子股份有限公司,"47,601.84","21,397.75","68,999.59",新竹市,半導體製造業,電子業
112,166,O17A0968,新唐科技股份有限公司,"18,725.68","35,031.35","53,757.02",新竹市,半導體製造業,電子業
112,174,O17N5463,世界先進積體電路股份有限公司晶圓五廠,"6,227.91","40,211.53","46,439.44",新竹市,半導體製造業,電子業
112,179,O1747924,頎邦科技股份有限公司展業廠,213.2391,"43,503.75","43,716.99",新竹市,半導體製造業,電子業
112,190,O17N6560,鴻揚半導體股份有限公司,"8,320.13","26,711.55","35,031.68",新竹市,半導體製造業,電子業
112,196,O17N8209,盧森堡商達爾國際股份有限公司新竹分公司,"14,365.51","15,861.75","30,227.26",新竹市,半導體製造業,電子業
112,197,O1713197,台亞半導體股份有限公司力行廠,"2,123.72","27,347.23","29,470.95",新竹市,半導體製造業,電子業
112,200,O1707162,矽格聯測股份有限公司,377.1617,"28,468.88","28,846.04",新竹市,半導體製造業,電子業
112,248,O1707395,友達光電股份有限公司L5廠,944.6633,"32,640.25","33,584.91",新竹市,光電材料及元件製造業,電子業
112,322,O1749526,采鈺科技股份有限公司,"4,229.05","26,418.15","30,647.20",新竹市,其他電子零組件製造業,電子業
112,102,J63A1670,台灣積體電路製造股份有限公司十二廠七期,"48,023.07","375,839.94","423,863.02",新竹縣,半導體製造業,電子業
112,107,J63A1056,台灣積體電路製造股份有限公司十二廠四期/五期,"40,385.37","309,532.67","349,918.05",新竹縣,半導體製造業,電子業
112,114,J63A1591,台灣積體電路製造股份有限公司十二廠六期,"18,497.57","246,813.47","265,311.04",新竹縣,半導體製造業,電子業
112,120,J63A3567,台灣積體電路製造股份有限公司十二廠八期,"13,368.83","211,685.76","225,054.59",新竹縣,半導體製造業,電子業
112,126,J6301107,台灣積體電路製造股份有限公司三廠,"39,365.62","160,916.75","200,282.36",新竹縣,半導體製造業,電子業
112,129,J6300959,世界先進積體電路股份有限公司晶圓一廠,"55,186.76","107,146.43","162,333.19",新竹縣,半導體製造業,電子業
112,133,J63A0107,台灣積體電路製造股份有限公司十二廠研新廠,"11,368.93","130,441.43","141,810.36",新竹縣,半導體製造業,電子業
112,136,J6301090,環球晶圓股份有限公司中德廠,"1,531.51","122,507.42","124,038.92",新竹縣,半導體製造業,電子業
112,137,J6301447,台灣積體電路製造股份有限公司五廠,"29,731.78","92,019.67","121,751.45",新竹縣,半導體製造業,電子業
112,146,J6300557,台灣積體電路製造股份有限公司二廠,"19,956.66","74,697.99","94,654.65",新竹縣,半導體製造業,電子業
112,150,J63A0048,聯華電子股份有限公司Fab8S廠,"15,108.79","65,979.33","81,088.12",新竹縣,半導體製造業,電子業
112,151,J59A7436,力成科技股份有限公司3C廠,"2,248.73","73,957.30","76,206.04",新竹縣,半導體製造業,電子業
112,152,J59A0579,力成科技股份有限公司大同廠,"1,652.33","72,624.54","74,276.87",新竹縣,半導體製造業,電子業
112,157,J6300324,台灣積體電路製造股份有限公司三廠3E廠,"6,285.17","61,206.07","67,491.24",新竹縣,半導體製造業,電子業
112,169,J6300860,南茂科技股份有限公司竹科一廠,566.1499,"47,481.70","48,047.85",新竹縣,半導體製造業,電子業
112,172,J63A1719,聯穎光電股份有限公司竹科廠,"11,043.85","35,661.27","46,705.12",新竹縣,半導體製造業,電子業
112,176,J59B0675,頎邦科技股份有限公司光復廠,"7,714.79","37,149.99","44,864.77",新竹縣,半導體製造業,電子業
112,177,J63A1422,矽品精密工業股份有限公司新竹分公司三廠,391.19,"44,110.98","44,502.17",新竹縣,半導體製造業,電子業
112,178,J59B1009,力成科技股份有限公司文化一廠,"2,259.50","42,108.01","44,367.50",新竹縣,半導體製造業,電子業
112,182,J59A5024,晶兆成科技股份有限公司一廠,934.6102,"40,753.20","41,687.82",新竹縣,半導體製造業,電子業
112,183,J6300299,漢磊科技股份有限公司研發廠,"18,669.13","22,850.46","41,519.60",新竹縣,半導體製造業,電子業
112,185,J59A1389,矽格股份有限公司湖口廠,251.6861,"40,075.05","40,326.73",新竹縣,半導體製造業,電子業
112,186,J5501121,南茂科技股份有限公司(竹北廠),834.8057,"37,614.35","38,449.15",新竹縣,半導體製造業,電子業
112,191,J5909814,艾克爾國際科技股份有限公司新竹廠,166.1097,"34,379.73","34,545.84",新竹縣,半導體製造業,電子業
