Date,HScode,Name,Country,Type,Value,Weight
2022-01,29161410,甲基丙烯酸甲酯,中國大陸,出口總值(含復出口),2990,1947122
2022-01,29161410,甲基丙烯酸甲酯,日本,進口總值(含復進口),447,254220
2022-01,29161410,甲基丙烯酸甲酯,印尼,出口總值(含復出口),339,206880
2022-01,29161410,甲基丙烯酸甲酯,印度,出口總值(含復出口),1922,1200000
2022-01,29161410,甲基丙烯酸甲酯,阿拉伯聯合大公國,出口總值(含復出口),61,30400
2022-01,29161410,甲基丙烯酸甲酯,南韓,進口總值(含復進口),132,60147
2022-01,29161410,甲基丙烯酸甲酯,美國,進口總值(含復進口),2,34
2022-01,29161410,甲基丙烯酸甲酯,美國,出口總值(含復出口),4802,2704420
2022-01,29161410,甲基丙烯酸甲酯,英國,進口總值(含復進口),0,3
2022-01,29161410,甲基丙烯酸甲酯,泰國,出口總值(含復出口),93,45600
2022-01,29161410,甲基丙烯酸甲酯,荷蘭,出口總值(含復出口),1595,1000000
2022-01,29161410,甲基丙烯酸甲酯,菲律賓,出口總值(含復出口),299,160040
2022-01,29161410,甲基丙烯酸甲酯,越南,出口總值(含復出口),606,332390
2022-01,29161410,甲基丙烯酸甲酯,新加坡,進口總值(含復進口),152,78420
2022-01,29161410,甲基丙烯酸甲酯,德國,進口總值(含復進口),1,44
2022-01,29161410,甲基丙烯酸甲酯,澳大利亞,出口總值(含復出口),30,15200
2022-01,29173300,鄰苯二甲酸二壬酯或二癸酯,中國大陸,出口總值(含復出口),691,525000
2022-01,29173300,鄰苯二甲酸二壬酯或二癸酯,巴西,出口總值(含復出口),29,17000
2022-01,29173300,鄰苯二甲酸二壬酯或二癸酯,日本,進口總值(含復進口),0,0
2022-01,29173300,鄰苯二甲酸二壬酯或二癸酯,日本,出口總值(含復出口),724,416000
2022-01,29173300,鄰苯二甲酸二壬酯或二癸酯,以色列,出口總值(含復出口),72,41000
2022-01,29173300,鄰苯二甲酸二壬酯或二癸酯,加拿大,進口總值(含復進口),0,0
2022-01,29173300,鄰苯二甲酸二壬酯或二癸酯,阿根廷,出口總值(含復出口),21,8000
2022-01,29173300,鄰苯二甲酸二壬酯或二癸酯,美國,進口總值(含復進口),0,0
2022-01,29173300,鄰苯二甲酸二壬酯或二癸酯,美國,出口總值(含復出口),2551,1375000
2022-01,29173300,鄰苯二甲酸二壬酯或二癸酯,英國,出口總值(含復出口),215,113000
2022-01,29173300,鄰苯二甲酸二壬酯或二癸酯,埃及,出口總值(含復出口),1851,1000000
2022-01,29173300,鄰苯二甲酸二壬酯或二癸酯,馬來西亞,出口總值(含復出口),30,20000
2022-01,29173300,鄰苯二甲酸二壬酯或二癸酯,菲律賓,出口總值(含復出口),138,79000
2022-01,29173300,鄰苯二甲酸二壬酯或二癸酯,越南,出口總值(含復出口),395,256000
2022-01,29173300,鄰苯二甲酸二壬酯或二癸酯,義大利,出口總值(含復出口),130,68000
2022-01,29173300,鄰苯二甲酸二壬酯或二癸酯,墨西哥,出口總值(含復出口),241,124000
2022-01,29321100,四氫?喃,中國大陸,進口總值(含復進口),1,44
2022-01,29321100,四氫?喃,中國大陸,出口總值(含復出口),4194,838230
2022-01,29321100,四氫?喃,日本,進口總值(含復進口),2,75
2022-01,29321100,四氫?喃,日本,出口總值(含復出口),1103,254620
2022-01,29321100,四氫?喃,印尼,出口總值(含復出口),455,80830
2022-01,29321100,四氫?喃,印度,出口總值(含復出口),4479,802240
2022-01,29321100,四氫?喃,阿拉伯聯合大公國,出口總值(含復出口),921,172800
2022-01,29321100,四氫?喃,南韓,進口總值(含復進口),22,1424
2022-01,29321100,四氫?喃,南韓,出口總值(含復出口),4735,928240
2022-01,29321100,四氫?喃,美國,進口總值(含復進口),5,93
2022-01,29321100,四氫?喃,美國,出口總值(含復出口),838,150270
2022-01,29321100,四氫?喃,英國,進口總值(含復進口),1,18
2022-01,29321100,四氫?喃,埃及,出口總值(含復出口),155,28800
2022-01,29321100,四氫?喃,馬來西亞,出口總值(含復出口),316,57600
2022-01,29321100,四氫?喃,荷蘭,進口總值(含復進口),0,0
2022-01,29321100,四氫?喃,荷蘭,出口總值(含復出口),1254,218760
2022-01,29321100,四氫?喃,越南,出口總值(含復出口),3232,642090
2022-01,29321100,四氫?喃,德國,進口總值(含復進口),12,1182
2022-01,39032000,苯乙烯－丙烯?共聚合物，初級狀態,中國大陸,進口總值(含復進口),353,132100
2022-01,39032000,苯乙烯－丙烯?共聚合物，初級狀態,中國大陸,出口總值(含復出口),10536,5653200
2022-01,39032000,苯乙烯－丙烯?共聚合物，初級狀態,中華民國,進口總值(含復進口),18,12500
2022-01,39032000,苯乙烯－丙烯?共聚合物，初級狀態,巴西,出口總值(含復出口),46,20000
2022-01,39032000,苯乙烯－丙烯?共聚合物，初級狀態,巴基斯坦,出口總值(含復出口),133,72000
2022-01,39032000,苯乙烯－丙烯?共聚合物，初級狀態,日本,進口總值(含復進口),148,62411
2022-01,39032000,苯乙烯－丙烯?共聚合物，初級狀態,日本,出口總值(含復出口),213,95700
2022-01,39032000,苯乙烯－丙烯?共聚合物，初級狀態,比利時,出口總值(含復出口),2,1000
2022-01,39032000,苯乙烯－丙烯?共聚合物，初級狀態,以色列,出口總值(含復出口),17,7000
2022-01,39032000,苯乙烯－丙烯?共聚合物，初級狀態,印尼,出口總值(含復出口),659,356100
2022-01,39032000,苯乙烯－丙烯?共聚合物，初級狀態,印度,出口總值(含復出口),6,3000
2022-01,39032000,苯乙烯－丙烯?共聚合物，初級狀態,西班牙,出口總值(含復出口),18,8000
2022-01,39032000,苯乙烯－丙烯?共聚合物，初級狀態,孟加拉,出口總值(含復出口),54,27000
2022-01,39032000,苯乙烯－丙烯?共聚合物，初級狀態,波蘭,出口總值(含復出口),100,46000
2022-01,39032000,苯乙烯－丙烯?共聚合物，初級狀態,阿拉伯聯合大公國,出口總值(含復出口),35,16000
2022-01,39032000,苯乙烯－丙烯?共聚合物，初級狀態,阿根廷,出口總值(含復出口),47,21000
2022-01,39032000,苯乙烯－丙烯?共聚合物，初級狀態,南非,出口總值(含復出口),7,3000
2022-01,39032000,苯乙烯－丙烯?共聚合物，初級狀態,南韓,進口總值(含復進口),33,20000
2022-01,39032000,苯乙烯－丙烯?共聚合物，初級狀態,美國,出口總值(含復出口),21,9000
2022-01,39032000,苯乙烯－丙烯?共聚合物，初級狀態,香港,出口總值(含復出口),816,408000
2022-01,39032000,苯乙烯－丙烯?共聚合物，初級狀態,埃及,出口總值(含復出口),172,80000
2022-01,39032000,苯乙烯－丙烯?共聚合物，初級狀態,泰國,進口總值(含復進口),71,38000
2022-01,39032000,苯乙烯－丙烯?共聚合物，初級狀態,泰國,出口總值(含復出口),856,413000
2022-01,39032000,苯乙烯－丙烯?共聚合物，初級狀態,馬來西亞,出口總值(含復出口),137,78000
2022-01,39032000,苯乙烯－丙烯?共聚合物，初級狀態,荷蘭,出口總值(含復出口),262,123000
2022-01,39032000,苯乙烯－丙烯?共聚合物，初級狀態,斯洛維尼亞,出口總值(含復出口),171,77000
2022-01,39032000,苯乙烯－丙烯?共聚合物，初級狀態,菲律賓,出口總值(含復出口),30,16250
2022-01,39032000,苯乙烯－丙烯?共聚合物，初級狀態,越南,出口總值(含復出口),350,187000
2022-01,39032000,苯乙烯－丙烯?共聚合物，初級狀態,義大利,出口總值(含復出口),14,7000
2022-01,39032000,苯乙烯－丙烯?共聚合物，初級狀態,墨西哥,出口總值(含復出口),161,76000
2022-01,39032000,苯乙烯－丙烯?共聚合物，初級狀態,澳大利亞,出口總值(含復出口),4,2000
2022-01,39039010,甲基丙烯酸甲酯－丁二烯－苯乙烯（ＭＢＳ）共聚合物，初級狀態,中國大陸,進口總值(含復進口),46,9600
2022-01,39039010,甲基丙烯酸甲酯－丁二烯－苯乙烯（ＭＢＳ）共聚合物，初級狀態,中國大陸,出口總值(含復出口),1072,380400
2022-01,39039010,甲基丙烯酸甲酯－丁二烯－苯乙烯（ＭＢＳ）共聚合物，初級狀態,日本,進口總值(含復進口),244,76100
2022-01,39039010,甲基丙烯酸甲酯－丁二烯－苯乙烯（ＭＢＳ）共聚合物，初級狀態,日本,出口總值(含復出口),76,25200
2022-01,39039010,甲基丙烯酸甲酯－丁二烯－苯乙烯（ＭＢＳ）共聚合物，初級狀態,比利時,出口總值(含復出口),301,111000
2022-01,39039010,甲基丙烯酸甲酯－丁二烯－苯乙烯（ＭＢＳ）共聚合物，初級狀態,以色列,出口總值(含復出口),6,2000
2022-01,39039010,甲基丙烯酸甲酯－丁二烯－苯乙烯（ＭＢＳ）共聚合物，初級狀態,加拿大,出口總值(含復出口),61,22000
2022-01,39039010,甲基丙烯酸甲酯－丁二烯－苯乙烯（ＭＢＳ）共聚合物，初級狀態,印度,出口總值(含復出口),123,55000
2022-01,39039010,甲基丙烯酸甲酯－丁二烯－苯乙烯（ＭＢＳ）共聚合物，初級狀態,波蘭,出口總值(含復出口),70,25000
2022-01,39039010,甲基丙烯酸甲酯－丁二烯－苯乙烯（ＭＢＳ）共聚合物，初級狀態,法國,出口總值(含復出口),100,36000
2022-01,39039010,甲基丙烯酸甲酯－丁二烯－苯乙烯（ＭＢＳ）共聚合物，初級狀態,南韓,進口總值(含復進口),111,44800
2022-01,39039010,甲基丙烯酸甲酯－丁二烯－苯乙烯（ＭＢＳ）共聚合物，初級狀態,南韓,出口總值(含復出口),40,17000
2022-01,39039010,甲基丙烯酸甲酯－丁二烯－苯乙烯（ＭＢＳ）共聚合物，初級狀態,美國,出口總值(含復出口),283,211200
2022-01,39039010,甲基丙烯酸甲酯－丁二烯－苯乙烯（ＭＢＳ）共聚合物，初級狀態,英國,出口總值(含復出口),44,16000
2022-01,39039010,甲基丙烯酸甲酯－丁二烯－苯乙烯（ＭＢＳ）共聚合物，初級狀態,香港,出口總值(含復出口),91,28350
2022-01,39039010,甲基丙烯酸甲酯－丁二烯－苯乙烯（ＭＢＳ）共聚合物，初級狀態,泰國,出口總值(含復出口),41,21600
2022-01,39039010,甲基丙烯酸甲酯－丁二烯－苯乙烯（ＭＢＳ）共聚合物，初級狀態,紐西蘭,出口總值(含復出口),13,4000
2022-01,39039010,甲基丙烯酸甲酯－丁二烯－苯乙烯（ＭＢＳ）共聚合物，初級狀態,馬來西亞,進口總值(含復進口),207,58400
2022-01,39039010,甲基丙烯酸甲酯－丁二烯－苯乙烯（ＭＢＳ）共聚合物，初級狀態,馬來西亞,出口總值(含復出口),129,62000
2022-01,39039010,甲基丙烯酸甲酯－丁二烯－苯乙烯（ＭＢＳ）共聚合物，初級狀態,荷蘭,出口總值(含復出口),148,54050
2022-01,39039010,甲基丙烯酸甲酯－丁二烯－苯乙烯（ＭＢＳ）共聚合物，初級狀態,斯里蘭卡,出口總值(含復出口),42,10000
2022-01,39039010,甲基丙烯酸甲酯－丁二烯－苯乙烯（ＭＢＳ）共聚合物，初級狀態,斯洛維尼亞,出口總值(含復出口),16,6000
2022-01,39039010,甲基丙烯酸甲酯－丁二烯－苯乙烯（ＭＢＳ）共聚合物，初級狀態,菲律賓,出口總值(含復出口),35,15500
2022-01,39039010,甲基丙烯酸甲酯－丁二烯－苯乙烯（ＭＢＳ）共聚合物，初級狀態,越南,出口總值(含復出口),177,64400
2022-01,39039010,甲基丙烯酸甲酯－丁二烯－苯乙烯（ＭＢＳ）共聚合物，初級狀態,新加坡,進口總值(含復進口),22,5760
2022-01,39039010,甲基丙烯酸甲酯－丁二烯－苯乙烯（ＭＢＳ）共聚合物，初級狀態,義大利,出口總值(含復出口),3,1000
2022-01,39039010,甲基丙烯酸甲酯－丁二烯－苯乙烯（ＭＢＳ）共聚合物，初級狀態,澳大利亞,出口總值(含復出口),84,27000
2022-01,39052100,醋酸乙烯共聚合物水性分散液,中國大陸,進口總值(含復進口),35,17600
