Date,HScode,Name,Country,Type,Value,Weight
2017-01,29161410,甲基丙烯酸甲酯,中國大陸,進口總值(含復進口),13,2400
2017-01,29161410,甲基丙烯酸甲酯,中國大陸,出口總值(含復出口),7644,4367373
2017-01,29161410,甲基丙烯酸甲酯,巴基斯坦,出口總值(含復出口),290,152000
2017-01,29161410,甲基丙烯酸甲酯,日本,進口總值(含復進口),5087,2944872
2017-01,29161410,甲基丙烯酸甲酯,印度,出口總值(含復出口),215,110950
2017-01,29161410,甲基丙烯酸甲酯,孟加拉,出口總值(含復出口),30,15200
2017-01,29161410,甲基丙烯酸甲酯,南韓,進口總值(含復進口),0,2
2017-01,29161410,甲基丙烯酸甲酯,南韓,出口總值(含復出口),533,300000
2017-01,29161410,甲基丙烯酸甲酯,美國,進口總值(含復進口),1371,945338
2017-01,29161410,甲基丙烯酸甲酯,香港,出口總值(含復出口),35,20000
2017-01,29161410,甲基丙烯酸甲酯,泰國,進口總值(含復進口),6280,3548380
2017-01,29161410,甲基丙烯酸甲酯,菲律賓,出口總值(含復出口),671,366690
2017-01,29161410,甲基丙烯酸甲酯,越南,出口總值(含復出口),1342,746520
2017-01,29161410,甲基丙烯酸甲酯,新加坡,進口總值(含復進口),1800,997564
2017-01,29161410,甲基丙烯酸甲酯,德國,進口總值(含復進口),32,31
2017-01,29173300,鄰苯二甲酸二壬酯或二癸酯,中國大陸,出口總值(含復出口),2251,2358000
2017-01,29173300,鄰苯二甲酸二壬酯或二癸酯,厄瓜多,出口總值(含復出口),23,16000
2017-01,29173300,鄰苯二甲酸二壬酯或二癸酯,日本,進口總值(含復進口),0,0
2017-01,29173300,鄰苯二甲酸二壬酯或二癸酯,日本,出口總值(含復出口),110,100000
2017-01,29173300,鄰苯二甲酸二壬酯或二癸酯,以色列,出口總值(含復出口),40,40000
2017-01,29173300,鄰苯二甲酸二壬酯或二癸酯,伊朗,出口總值(含復出口),56,48000
2017-01,29173300,鄰苯二甲酸二壬酯或二癸酯,印尼,出口總值(含復出口),97,82000
2017-01,29173300,鄰苯二甲酸二壬酯或二癸酯,美國,進口總值(含復進口),1,0
2017-01,29173300,鄰苯二甲酸二壬酯或二癸酯,美國,出口總值(含復出口),496,462000
2017-01,29173300,鄰苯二甲酸二壬酯或二癸酯,英國,出口總值(含復出口),47,46000
2017-01,29173300,鄰苯二甲酸二壬酯或二癸酯,馬來西亞,出口總值(含復出口),173,169000
2017-01,29173300,鄰苯二甲酸二壬酯或二癸酯,荷蘭,進口總值(含復進口),0,0
2017-01,29173300,鄰苯二甲酸二壬酯或二癸酯,荷蘭,出口總值(含復出口),1051,1002000
2017-01,29173300,鄰苯二甲酸二壬酯或二癸酯,斯里蘭卡,出口總值(含復出口),6,6000
2017-01,29173300,鄰苯二甲酸二壬酯或二癸酯,菲律賓,出口總值(含復出口),297,263000
2017-01,29173300,鄰苯二甲酸二壬酯或二癸酯,越南,出口總值(含復出口),31,29000
2017-01,29173300,鄰苯二甲酸二壬酯或二癸酯,義大利,出口總值(含復出口),46,45000
2017-01,29173300,鄰苯二甲酸二壬酯或二癸酯,德國,進口總值(含復進口),0,0
2017-01,29173300,鄰苯二甲酸二壬酯或二癸酯,墨西哥,出口總值(含復出口),230,207000
2017-01,29321100,四氫?喃,中國大陸,進口總值(含復進口),173,100003
2017-01,29321100,四氫?喃,中國大陸,出口總值(含復出口),181,72000
2017-01,29321100,四氫?喃,日本,出口總值(含復出口),281,162210
2017-01,29321100,四氫?喃,伊朗,出口總值(含復出口),80,43200
2017-01,29321100,四氫?喃,印度,出口總值(含復出口),1959,1173020
2017-01,29321100,四氫?喃,南韓,進口總值(含復進口),5,758
2017-01,29321100,四氫?喃,南韓,出口總值(含復出口),79,43200
2017-01,29321100,四氫?喃,美國,進口總值(含復進口),15,950
