公司,廠區,區域,用途,純度,備註,2025_用量,2025_外購量,2025_外購對象,2024_用量,2023_用量,外購來源公司,外購來源廠區,運輸方式
台橡公司,高雄廠,南部,化學製程,,原用途:SEBC橡膠氫化製程,,,,0.063,,,,
台塑科騰,HSBC廠,中部,化學製程,,原用途:HSBC氫化製程,,,,0.059,,,,
環球橡膠,小港廠,南部,化學製程,,原用途:SBS氫化製程,,,,0.0528,,,,
台聚化學,高雄廠,南部,其他用途,,原用途:Unipol 製程,,,,0.0285,,,,
中日合成,林園廠,南部,其他用途,,原用途:實驗室用途,,,,0.000001982,,,,
大連化工,大發廠,南部,化學製程,,"原用途:1,4-丁二醇; 原用途:1,4-丁二醇(BDO2); 原用途:1,4-丁二醇(BDO6)",,,,2.6096,,,,
大連化工,麥寮廠,中部,化學製程,,"原用途:1,4-丁二醇; 原用途:1,4-丁二醇(BDO3)",,,,1.2354,,,,
大連化工,麥寮廠,中部,化學製程,,原用途:觸媒還原製程,,,,0.0000066,,,,
長春石化,苗栗二廠,北部,化學製程,,原用途:雙氧水製程(HP2); 原用途:雙氧水製程(HP3); 原用途:雙氧水製程(HP5); 原用途:雙氧水製程(HP6),,,,1.0914,,,,
信昌化學,林園廠,南部,化學製程,,原用途:環己酮製程,,,,0.0889,,,,
長春石化,彰濱廠,中部,化學製程,,原用途:雙氧水製程(HPCP1),,,,0.3278,,,,
大連化工,江蘇儀征工廠,其他,化學製程,,"原用途:1,4-丁二醇(BDO4)",,,,0.2024,,,,
大連化工,遼寧盤錦工廠,其他,化學製程,,"原用途:1,4-丁二醇(BDO5)",,,,0.6072,,,,
台灣塑膠,仁武/麥寮廠,中部,化學製程,,正丁醇製程,,,,0.6337,,,,
台灣塑膠,仁武/麥寮廠,中部,燃料燃燒,,,,,,0.628,,,,
大連化學工業,大發廠,其他,外購統籌,,,,0.076,鄰近廠區(中油管輸)(0.076噸),,,,,
和益化學工業,林園廠,南部,外購統籌,,,,0.033,鄰近廠區(0.033噸),,,,,
信昌化學工業,林園廠,南部,外購統籌,,,,0.039,氣體供應商(0.039噸),,,,,
中日合成化學,林園廠,南部,外購統籌,,,,0.00008,氣體供應商(0.00008噸),,,,,
