Date,HScode,Name,Country,Type,Value,Weight
2024-01,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,中國大陸,進口,2717,47440.31
2024-01,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,日本,進口,77,274.8
2024-01,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,日本,出口,20,39.9
2024-01,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,印尼,進口,60,285
2024-01,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,印度,進口,124,842.075
2024-01,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,法國,進口,0,0.001
2024-01,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,南韓,出口,0,0.008
2024-01,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,美國,進口,1749,6470.732
2024-01,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,英國,進口,20,82.94
2024-01,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,泰國,出口,11,19.04
2024-01,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,馬來西亞,進口,11,40
2024-01,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,馬來西亞,出口,4,2.75
2024-01,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,菲律賓,出口,21,39.6
2024-01,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,越南,出口,188,351
2024-01,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,澳大利亞,進口,87,332
2024-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,中國大陸,進口,221,369.848
2024-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,日本,進口,1289,18210
2024-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,北馬里亞納群島,出口,44,700
2024-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,印尼,進口,6023,117441
2024-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,印度,進口,59,63.6
2024-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,印度,出口,13,1.5
2024-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,其他國家,出口,0,0.76
2024-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,法國,進口,17,21
2024-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,南韓,進口,88,92.75
2024-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,哈薩克,進口,11,25
2024-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,香港,出口,6,36.36
2024-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,泰國,進口,2373,46800
2024-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,馬來西亞,進口,69,450.6
2024-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,馬來西亞,出口,3,4.8
2024-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,荷蘭,進口,23,24
